,序号,一级流程,二级流程,三级流程,处罚企业名称,处罚企业简称,处罚决定书文号（如适用）,事件描述,相关法规（如适用）,处罚措施（如适用）,处罚金额（万元）（如适用）,处罚机关（如适用）,处罚地域,处罚日期（如适用）,事件发生日期,事件类型,事件信息源,是否影响业务范围,事件内控类型（如适用）,损失事件类型,事件损失等级,事件损失等级得分,维护日期,维护人,备注
0,1,客户管理,商户管理,受理终端（网络支付接口管理）,裕福支付有限公司,裕福支付,银管罚〔2020〕27号,网络支付业务中，未及时发现处置特约商户转接支付接口的情况,"《银行卡收单业务管理办法》第二十条：
收单机构应当建立特约商户检查制度，明确检查频率、检查内容、检查记录等管理要求，落实检查责任。对于网络特约商户，收单机构应当采取有效的检查措施和技术手段对其经营内容和交易情况进行检查。
",给予警告，没收违法所得218.79624万元，并处罚款1234.79624万元，罚没合计1453.59248万元,1453.59248,中国人民银行营业管理部,北京,2020-09-30,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
1,2,客户管理,商户管理,商户检查（包括服务商子商户）,裕福支付有限公司,裕福支付,银管罚〔2020〕27号,未按规定落实商户巡检义务,"《银行卡收单业务管理办法》第二十条：
收单机构应当建立特约商户检查制度，明确检查频率、检查内容、检查记录等管理要求，落实检查责任。对于网络特约商户，收单机构应当采取有效的检查措施和技术手段对其经营内容和交易情况进行检查。
",给予警告，没收违法所得218.79624万元，并处罚款1234.79624万元，罚没合计1453.59248万元,1453.59248,中国人民银行营业管理部,北京,2020-10-01,,,监管,否,执行层面,客户、产品和业务活动事件,灾难性(5),5.0,,,
2,3,客户管理,商户管理,信息、交易记录、操作记录留存,裕福支付有限公司,裕福支付,银管罚〔2020〕27号,未按规定管理特约商户资料,"《银行卡收单业务管理办法》第十四条：
对特约商户申请材料、资质审核材料、受理协议、培训和检查记录、信息变更、终止合作等档案资料，收单机构应当至少保存收单服务终止后5年。",给予警告，没收违法所得218.79624万元，并处罚款1234.79624万元，罚没合计1453.59248万元,1453.59248,中国人民银行营业管理部,北京,2020-10-02,,,监管,否,执行层面,文件归档不符合监管或公司规定,灾难性(5),5.0,,,
3,4,交易管理,网络支付管理,交易结算,北京畅捷通支付技术有限公司,畅捷通,银管罚〔2019〕19号,非金融机构支付服务管理办法有关规定,《非金融机构支付服务管理办法》,根据《非金融机构支付服务管理办法》（中国人民银行令【2010〕第2号发布）第四十三条第七项的规定，处以人民币罚款9万元。,9,中国人民银行营业管理部,北京,2019-05-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
4,4,交易管理,网络支付管理,交易结算,北京畅捷通支付技术有限公司,畅捷通,银管罚〔2019〕19号,违反清算管理规定,《非金融机构支付服务管理办法》,根据《非金融机构支付服务管理办法》（中国人民银行令【2010〕第2号发布）第四十三条第七项的规定，处以人民币罚款9万元。,9,中国人民银行营业管理部,北京,2019-05-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
5,5,交易管理,网络支付管理,交易结算,北京数码视讯支付技术有限公司,数码视讯,银管罚〔2019〕20号,非金融机构支付服务管理办法有关规定,《非金融机构支付服务管理办法》,根据《非金融机构支付服务管理办法》（中国人民银行令【2010〕第2号发布）第四十三条第七项的规定，处以人民币罚款3万元。,3,中国人民银行营业管理部,北京,2019-05-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
6,5,交易管理,网络支付管理,交易结算,北京数码视讯支付技术有限公司,数码视讯,银管罚〔2019〕20号,违反清算管理规定,《非金融机构支付服务管理办法》,根据《非金融机构支付服务管理办法》（中国人民银行令【2010〕第2号发布）第四十三条第七项的规定，处以人民币罚款3万元。,3,中国人民银行营业管理部,北京,2019-05-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
7,6,交易管理,网络支付管理,交易结算,北京百付宝科技有限公司,百付宝,银管罚〔2019〕18号,非金融机构支付服务管理办法有关规定,《非金融机构支付服务管理办法》,根据《非金融机构支付服务管理办法》（中国人民银行令【2010〕第2号发布）第四十三条第七项的规定，处以人民币罚款3万元。,3,中国人民银行营业管理部,北京,2019-05-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
8,6,交易管理,网络支付管理,交易结算,北京百付宝科技有限公司,百付宝,银管罚〔2019〕18号,违法清算管理规定,《非金融机构支付服务管理办法》,根据《非金融机构支付服务管理办法》（中国人民银行令【2010〕第2号发布）第四十三条第七项的规定，处以人民币罚款3万元。,3,中国人民银行营业管理部,北京,2019-05-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
9,8,交易管理,网络支付管理,交易处理,深圳市中付电子支付科技有限公司,中付,业管委秘〔2019〕21号,变造交易,"《银联卡业务运作规章》
《银联卡受理市场违规行为管理实施细则》（银联业管委〔2018〕5号）",银联根据（银联业管委〔2018〕5号）文相关规定对其进行通报，并对违规行为进行处置，督导其全面排查存在问题，立即完成整改，加强对商户及受理终端的合规管理。,不适用,中国银联业务管理委员会,深圳,2019-04-30,,,监管,否,执行层面,执行、交割和流程管理事件,,,,,
10,8,客户管理,商户管理,受理终端（网络支付接口管理）,深圳市中付电子支付科技有限公司,中付,业管委秘〔2019〕21号,销售的受理终端可由用户自选商户（一机多商户）,"《银联卡业务运作规章》
《银联卡受理市场违规行为管理实施细则》（银联业管委〔2018〕5号）",银联根据（银联业管委〔2018〕5号）文相关规定对其进行通报，并对违规行为进行处置，督导其全面排查存在问题，立即完成整改，加强对商户及受理终端的合规管理。,不适用,中国银联业务管理委员会,深圳,2019-04-30,,,监管,否,执行层面,客户、产品和业务活动事件,,,,,
11,8,客户管理,商户管理,商户资质审核及信息更新,深圳市中付电子支付科技有限公司,中付,业管委秘〔2019〕21号,虚构商户,"《银联卡业务运作规章》
《银联卡受理市场违规行为管理实施细则》（银联业管委〔2018〕5号）",银联根据（银联业管委〔2018〕5号）文相关规定对其进行通报，并对违规行为进行处置，督导其全面排查存在问题，立即完成整改，加强对商户及受理终端的合规管理。,不适用,中国银联业务管理委员会,深圳,2019-04-30,,,监管,否,执行层面,客户、产品和业务活动事件,,,,,
12,9,客户管理,商户管理,商户资质审核及信息更新,新生支付有限公司,新生,琼银罚字〔2019〕1号,未严格落实实名审核要求,《非金融机构支付服务管理办法》、《银行卡收单业务管理办法》,警告，对公司处以罚款13万元,13,中国人民银行海口中心支行,海口,2019-04-16,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
